,0,1
achieving,8.0,1e-05
superiority,6.0,7.5e-06
classify,2.0,2.5e-06
sixth,45.0,5.625e-05
electronically,1.0,1.25e-06
scanned,2.0,2.5e-06
array,10.0,1.25e-05
internal,42.0,5.25e-05
bay,128.0,0.00016
swimmer,3.0,3.75e-06
competed,79.0,9.875e-05
mens,98.0,0.0001225
metre,10.0,1.25e-05
freestyle,6.0,7.5e-06
wang,13.0,1.625e-05
simplified,14.0,1.75e-05
specialist,19.0,2.375e-05
innovator,3.0,3.75e-06
printing,19.0,2.375e-05
academician,2.0,2.5e-06
conglomerate,5.0,6.25e-06
mathematics,30.0,3.75e-05
peking,3.0,3.75e-06
devoted,18.0,2.25e-05
processing,24.0,3e-05
graphics,6.0,7.5e-06
images,32.0,4e-05
laser,9.0,1.125e-05
typesetting,3.0,3.75e-06
surpassing,4.0,5e-06
optical,10.0,1.25e-05
designation,16.0,2e-05
invented,9.0,1.125e-05
onto,45.0,5.625e-05
preeminent,3.0,3.75e-06
scientists,27.0,3.375e-05
asteroid,24.0,3e-05
purple,24.0,3e-05
observatory,9.0,1.125e-05
memory,28.0,3.5e-05
naming,15.0,1.875e-05
citation,77.0,9.625e-05
basin,30.0,3.75e-05
sylva,1.0,1.25e-06
ulus,2.0,2.5e-06
residence,41.0,5.125e-05
mentioned,53.0,6.625e-05
biography,17.0,2.125e-05
settled,57.0,7.125e-05
preaching,4.0,5e-06
spruce,5.0,6.25e-06
pagans,2.0,2.5e-06
wondering,3.0,3.75e-06
fathers,68.0,8.5e-05
worshiped,1.0,1.25e-06
nobody,8.0,1e-05
didnt,45.0,5.625e-05
dare,3.0,3.75e-06
touch,14.0,1.75e-05
stronger,16.0,2e-05
gods,43.0,5.375e-05
answered,10.0,1.25e-05
preach,2.0,2.5e-06
deed,12.0,1.5e-05
astonished,3.0,3.75e-06
salvation,2.0,2.5e-06
hagiography,3.0,3.75e-06
miracles,6.0,7.5e-06
adopt,23.0,2.875e-05
christianity,17.0,2.125e-05
converted,36.0,4.5e-05
blanche,13.0,1.625e-05
bandleader,3.0,3.75e-06
chips,7.0,8.75e-06
showing,42.0,5.25e-05
talent,27.0,3.375e-05
scholarship,31.0,3.875e-05
grange,3.0,3.75e-06
cinema,43.0,5.375e-05
girl,64.0,8e-05
teddy,2.0,2.5e-06
fosters,2.0,2.5e-06
competition,145.0,0.00018125
covent,1.0,1.25e-06
saturday,62.0,7.75e-05
palais,1.0,1.25e-06
ocean,42.0,5.25e-05
revue,7.0,8.75e-06
resident,25.0,3.125e-05
stimulate,4.0,5e-06
ballroom,3.0,3.75e-06
aberdeen,2.0,2.5e-06
seaside,4.0,5e-06
entertain,6.0,7.5e-06
villa,23.0,2.875e-05
laine,1.0,1.25e-06
race,174.0,0.0002175
issue,94.0,0.0001175
sensitive,14.0,1.75e-05
barry,20.0,2.5e-05
weddings,5.0,6.25e-06
funeral,27.0,3.375e-05
andrew,34.0,4.25e-05
motions,12.0,1.5e-05
philip,26.0,3.25e-05
pseudonym,12.0,1.5e-05
brunette,1.0,1.25e-06
amis,1.0,1.25e-06
emily,25.0,3.125e-05
chester,22.0,2.75e-05
crane,19.0,2.375e-05
preface,6.0,7.5e-06
hint,2.0,2.5e-06
whereabouts,5.0,6.25e-06
pall,1.0,1.25e-06
mode,22.0,2.75e-05
reputation,39.0,4.875e-05
boston,66.0,8.25e-05
baltimore,20.0,2.5e-05
novela,1.0,1.25e-06
messrs,4.0,5e-06
overcrowded,1.0,1.25e-06
engagements,13.0,1.625e-05
urging,8.0,1e-05
politely,1.0,1.25e-06
inspection,13.0,1.625e-05
addressed,21.0,2.625e-05
knew,50.0,6.25e-05
bound,27.0,3.375e-05
publish,22.0,2.75e-05
anonymously,6.0,7.5e-06
quotation,5.0,6.25e-06
goethe,1.0,1.25e-06
monstrosities,2.0,2.5e-06
discloses,2.0,2.5e-06
secrets,5.0,6.25e-06
attained,5.0,6.25e-06
publishers,15.0,1.875e-05
scarcely,2.0,2.5e-06
cordial,1.0,1.25e-06
reception,11.0,1.375e-05
cultured,2.0,2.5e-06
appreciative,2.0,2.5e-06
circles,19.0,2.375e-05
dramatized,1.0,1.25e-06
presentation,24.0,3e-05
exceeding,10.0,1.25e-05
sanguine,1.0,1.25e-06
hopes,16.0,2e-05
adapter,1.0,1.25e-06
chorus,3.0,3.75e-06
reviewers,14.0,1.75e-05
eminence,3.0,3.75e-06
enthusiastic,5.0,6.25e-06
untempered,1.0,1.25e-06
maryland,39.0,4.875e-05
speedier,1.0,1.25e-06
marked,46.0,5.75e-05
extent,29.0,3.625e-05
autobiographical,4.0,5e-06
cranes,12.0,1.5e-05
autobiography,17.0,2.125e-05
enters,25.0,3.125e-05
interesting,20.0,2.5e-05
dilemma,3.0,3.75e-06
respectable,3.0,3.75e-06
boring,4.0,5e-06
gentleman,8.0,1e-05
dashing,1.0,1.25e-06
fierce,11.0,1.375e-05
debate,20.0,2.5e-05
raged,1.0,1.25e-06
faithful,16.0,2e-05
husband,86.0,0.0001075
deleterious,2.0,2.5e-06
morbidly,1.0,1.25e-06
drawn,37.0,4.625e-05
individual,99.0,0.00012375
delineated,2.0,2.5e-06
bold,21.0,2.625e-05
masterly,2.0,2.5e-06
equal,46.0,5.75e-05
idealized,1.0,1.25e-06
herself,58.0,7.25e-05
certainly,15.0,1.875e-05
glorious,8.0,1e-05
hair,22.0,2.75e-05
belonged,27.0,3.375e-05
transcript,2.0,2.5e-06
edwin,10.0,1.25e-05
essayist,4.0,5e-06
characteristic,27.0,3.375e-05
entitled,53.0,6.625e-05
originality,5.0,6.25e-06
impression,15.0,1.875e-05
avoided,13.0,1.625e-05
heretofore,3.0,3.75e-06
hinted,2.0,2.5e-06
substance,30.0,3.75e-05
elective,7.0,8.75e-06
affinities,5.0,6.25e-06
aware,16.0,2e-05
psychology,15.0,1.875e-05
exceptional,9.0,1.125e-05
sentiment,9.0,1.125e-05
keenness,1.0,1.25e-06
sympathy,6.0,7.5e-06
antipathy,1.0,1.25e-06
recesses,2.0,2.5e-06
exerts,2.0,2.5e-06
controlling,11.0,1.375e-05
exhibited,22.0,2.75e-05
intense,10.0,1.25e-05
fastens,1.0,1.25e-06
readers,23.0,2.875e-05
resisting,3.0,3.75e-06
compels,1.0,1.25e-06
hold,72.0,9e-05
sympathies,2.0,2.5e-06
pleasing,3.0,3.75e-06
vigorously,2.0,2.5e-06
hastings,3.0,3.75e-06
strongly,30.0,3.75e-05
individualized,1.0,1.25e-06
contrasted,5.0,6.25e-06
magnetism,3.0,3.75e-06
exert,2.0,2.5e-06
heroine,4.0,5e-06
vividly,2.0,2.5e-06
commonplace,2.0,2.5e-06
seem,22.0,2.75e-05
thrown,13.0,1.625e-05
passions,16.0,2e-05
personages,3.0,3.75e-06
analyzing,4.0,5e-06
representing,46.0,5.75e-05
constitute,11.0,1.375e-05
fascination,3.0,3.75e-06
immaturity,1.0,1.25e-06
observation,17.0,2.125e-05
mastery,3.0,3.75e-06
illusive,1.0,1.25e-06
difficult,68.0,8.5e-05
fix,11.0,1.375e-05
portray,4.0,5e-06
fail,8.0,1e-05
hon,5.0,6.25e-06
reviewed,15.0,1.875e-05
qualities,12.0,1.5e-05
genius,14.0,1.75e-05
psychological,15.0,1.875e-05
delineation,1.0,1.25e-06
incidents,16.0,2e-05
merit,17.0,2.125e-05
probability,10.0,1.25e-05
reminds,3.0,3.75e-06
caleb,4.0,5e-06
williams,94.0,0.0001175
familiar,13.0,1.625e-05
aim,31.0,3.875e-05
superadded,1.0,1.25e-06
intensity,6.0,7.5e-06
consecration,4.0,5e-06
godwin,3.0,3.75e-06
tolerably,2.0,2.5e-06
fair,56.0,7e-05
radiant,1.0,1.25e-06
extraordinary,21.0,2.625e-05
lovers,6.0,7.5e-06
iron,57.0,7.125e-05
commanding,21.0,2.625e-05
intellect,7.0,8.75e-06
recoils,1.0,1.25e-06
unconquerable,1.0,1.25e-06
spontaneous,2.0,2.5e-06
repulsion,1.0,1.25e-06
temperament,3.0,3.75e-06
happy,42.0,5.25e-05
intellectual,22.0,2.75e-05
inferiority,1.0,1.25e-06
resists,2.0,2.5e-06
hers,3.0,3.75e-06
web,33.0,4.125e-05
woof,1.0,1.25e-06
unquestionably,2.0,2.5e-06
sad,23.0,2.875e-05
sorrows,3.0,3.75e-06
crave,3.0,3.75e-06
grieve,1.0,1.25e-06
wrought,6.0,7.5e-06
shroud,2.0,2.5e-06
deepest,3.0,3.75e-06
impossible,17.0,2.125e-05
creature,3.0,3.75e-06
cleopatra,7.0,8.75e-06
harriet,3.0,3.75e-06
florence,5.0,6.25e-06
nightingale,3.0,3.75e-06
preternatural,1.0,1.25e-06
centaur,1.0,1.25e-06
griffin,4.0,5e-06
blending,2.0,2.5e-06
irreconcilable,2.0,2.5e-06
satisfies,2.0,2.5e-06
gratifies,1.0,1.25e-06
coolly,3.0,3.75e-06
pear,2.0,2.5e-06
peach,1.0,1.25e-06
dessert,1.0,1.25e-06
beings,10.0,1.25e-05
knife,10.0,1.25e-05
sensuous,2.0,2.5e-06
ben,55.0,6.875e-05
embodiments,1.0,1.25e-06
humors,1.0,1.25e-06
flesh,5.0,6.25e-06
blood,107.0,0.00013375
lay,34.0,4.25e-05
feeling,23.0,2.875e-05
sitting,18.0,2.25e-05
heated,9.0,1.125e-05
stove,2.0,2.5e-06
endured,5.0,6.25e-06
stupid,3.0,3.75e-06
bores,1.0,1.25e-06
absorbing,5.0,6.25e-06
chapter,36.0,4.5e-05
seizes,4.0,5e-06
grasp,4.0,5e-06
holds,48.0,6e-05
unbroken,3.0,3.75e-06
sort,18.0,2.25e-05
sigh,3.0,3.75e-06
relaxation,2.0,2.5e-06
fibres,2.0,2.5e-06
stretched,9.0,1.125e-05
tension,12.0,1.5e-05
attracted,30.0,3.75e-05
gail,3.0,3.75e-06
fault,8.0,1e-05
tendency,23.0,2.875e-05
conceal,4.0,5e-06
gaze,3.0,3.75e-06
millinery,1.0,1.25e-06
abounding,1.0,1.25e-06
manly,1.0,1.25e-06
grace,16.0,2e-05
fabulous,4.0,5e-06
wealth,17.0,2.125e-05
profusion,1.0,1.25e-06
elegant,11.0,1.375e-05
appurtenances,1.0,1.25e-06
rates,21.0,2.625e-05
nights,18.0,2.25e-05
careless,4.0,5e-06
coarse,2.0,2.5e-06
unfrequently,1.0,1.25e-06
labored,2.0,2.5e-06
vulgar,5.0,6.25e-06
gossiping,1.0,1.25e-06
envious,1.0,1.25e-06
malignant,2.0,2.5e-06
hateful,1.0,1.25e-06
gleam,2.0,2.5e-06
altogether,5.0,6.25e-06
flickering,1.0,1.25e-06
sunshine,7.0,8.75e-06
womanly,2.0,2.5e-06
splendor,1.0,1.25e-06
sufficient,23.0,2.875e-05
shining,4.0,5e-06
conversations,2.0,2.5e-06
spun,6.0,7.5e-06
undue,2.0,2.5e-06
indulges,1.0,1.25e-06
philosophy,88.0,0.00011
generalizations,1.0,1.25e-06
drawbacks,1.0,1.25e-06
compensations,1.0,1.25e-06
remarks,9.0,1.125e-05
reflections,5.0,6.25e-06
impertinent,1.0,1.25e-06
sensible,4.0,5e-06
shrewd,2.0,2.5e-06
depth,27.0,3.375e-05
clearness,1.0,1.25e-06
insight,8.0,1e-05
improved,34.0,4.25e-05
abridgment,1.0,1.25e-06
earnest,4.0,5e-06
offers,69.0,8.625e-05
recollect,2.0,2.5e-06
resemblance,5.0,6.25e-06
discarding,2.0,2.5e-06
resort,30.0,3.75e-05
mercenary,11.0,1.375e-05
mothers,32.0,4e-05
feuds,4.0,5e-06
manner,33.0,4.125e-05
circumstances,21.0,2.625e-05
directly,74.0,9.25e-05
inward,4.0,5e-06
eternal,6.0,7.5e-06
mystery,20.0,2.5e-05
obstacle,3.0,3.75e-06
popularity,33.0,4.125e-05
stumbling,1.0,1.25e-06
offence,7.0,8.75e-06
paths,6.0,7.5e-06
comfortable,13.0,1.625e-05
surety,1.0,1.25e-06
villain,13.0,1.625e-05
grief,13.0,1.625e-05
joy,18.0,2.25e-05
stormy,3.0,3.75e-06
troubles,3.0,3.75e-06
tossed,2.0,2.5e-06
tranquillity,1.0,1.25e-06
foreknowledge,1.0,1.25e-06
happiness,13.0,1.625e-05
thrusts,1.0,1.25e-06
marries,5.0,6.25e-06
passionately,2.0,2.5e-06
unselfishly,1.0,1.25e-06
respect,37.0,4.625e-05
reverence,5.0,6.25e-06
loathing,1.0,1.25e-06
newfangled,3.0,3.75e-06
notion,13.0,1.625e-05
confusion,10.0,1.25e-05
mere,13.0,1.625e-05
casual,4.0,5e-06
observers,4.0,5e-06
comprehend,2.0,2.5e-06
impalpable,1.0,1.25e-06
imperative,3.0,3.75e-06
obedience,4.0,5e-06
perfected,2.0,2.5e-06
disobedience,2.0,2.5e-06
deeper,7.0,8.75e-06
useless,3.0,3.75e-06
contend,2.0,2.5e-06
exaggerated,7.0,8.75e-06
truth,33.0,4.125e-05
overstate,1.0,1.25e-06
avows,1.0,1.25e-06
impersonation,1.0,1.25e-06
granting,10.0,1.25e-05
rigid,11.0,1.375e-05
overdoing,1.0,1.25e-06
gesture,3.0,3.75e-06
youthful,4.0,5e-06
traced,8.0,1e-05
windings,1.0,1.25e-06
absence,27.0,3.375e-05
mingled,1.0,1.25e-06
distrust,2.0,2.5e-06
repentance,1.0,1.25e-06
regard,21.0,2.625e-05
gratitude,3.0,3.75e-06
things,70.0,8.75e-05
revelation,6.0,7.5e-06
pure,17.0,2.125e-05
intensified,7.0,8.75e-06
infinite,12.0,1.5e-05
tenderness,1.0,1.25e-06
mirth,3.0,3.75e-06
coquetry,1.0,1.25e-06
gentleness,1.0,1.25e-06
wilfulness,1.0,1.25e-06
brainpower,1.0,1.25e-06
passionate,5.0,6.25e-06
tastes,3.0,3.75e-06
distastes,1.0,1.25e-06
mighty,4.0,5e-06
heroines,1.0,1.25e-06
anomaly,6.0,7.5e-06
immemorial,1.0,1.25e-06
indomitable,2.0,2.5e-06
dear,5.0,6.25e-06
sacrifice,12.0,1.5e-05
atonement,1.0,1.25e-06
stern,8.0,1e-05
unwearied,1.0,1.25e-06
bore,19.0,2.375e-05
sharpest,1.0,1.25e-06
bring,57.0,7.125e-05
sin,7.0,8.75e-06
thing,55.0,6.875e-05
accuses,4.0,5e-06
plagiarizing,2.0,2.5e-06
rewriting,3.0,3.75e-06
believes,17.0,2.125e-05
scathing,2.0,2.5e-06
anonymous,12.0,1.5e-05
obituary,5.0,6.25e-06
contends,3.0,3.75e-06
forgotten,3.0,3.75e-06
shockingly,1.0,1.25e-06
nasty,4.0,5e-06
notice,15.0,1.875e-05
monster,8.0,1e-05
proportions,3.0,3.75e-06
drive,57.0,7.125e-05
stake,11.0,1.375e-05
risky,2.0,2.5e-06
enterprise,40.0,5e-05
appropriating,1.0,1.25e-06
civilized,4.0,5e-06
responsible,84.0,0.000105
shapeless,1.0,1.25e-06
immoral,3.0,3.75e-06
narratives,6.0,7.5e-06
rounded,15.0,1.875e-05
perfection,3.0,3.75e-06
leon,13.0,1.625e-05
safety,54.0,6.75e-05
kansas,50.0,6.25e-05
chiefs,14.0,1.75e-05
grandson,11.0,1.375e-05
giants,10.0,1.25e-05
draft,88.0,0.00011
waived,14.0,1.75e-05
squad,63.0,7.875e-05
roster,13.0,1.625e-05
promoted,100.0,0.000125
alan,41.0,5.125e-05
campbell,28.0,3.5e-05
labour,67.0,8.375e-05
parliamentary,44.0,5.5e-05
whip,15.0,1.875e-05
ba,27.0,3.375e-05
politics,48.0,6e-05
leeds,5.0,6.25e-06
finishing,41.0,5.125e-05
newcastle,17.0,2.125e-05
hirst,2.0,2.5e-06
contested,34.0,4.25e-05
marginal,9.0,1.125e-05
votes,62.0,7.75e-05
accounts,36.0,4.5e-05
select,20.0,2.5e-05
pps,2.0,2.5e-06
gus,10.0,1.25e-05
ingram,1.0,1.25e-06
blair,10.0,1.25e-05
ed,29.0,3.625e-05
broken,48.0,6e-05
voted,38.0,4.75e-05
committing,4.0,5e-06
hospitals,23.0,2.875e-05
fees,14.0,1.75e-05
identity,39.0,4.875e-05
renewing,2.0,2.5e-06
trident,2.0,2.5e-06
gay,46.0,5.75e-05
restrictions,23.0,2.875e-05
hounds,3.0,3.75e-06
opposed,42.0,5.25e-05
raising,19.0,2.375e-05
tuition,6.0,7.5e-06
fee,22.0,2.75e-05
cap,18.0,2.25e-05
academies,3.0,3.75e-06
misappropriated,2.0,2.5e-06
inquiry,12.0,1.5e-05
benign,1.0,1.25e-06
tumour,2.0,2.5e-06
spine,8.0,1e-05
feminine,8.0,1e-05
kanji,3.0,3.75e-06
hiragana,1.0,1.25e-06
katakana,1.0,1.25e-06
global,95.0,0.00011875
dow,12.0,1.5e-05
index,27.0,3.375e-05
corporations,11.0,1.375e-05
stocks,15.0,1.875e-05
progenitor,2.0,2.5e-06
editors,18.0,2.25e-05
journal,58.0,7.25e-05
regions,50.0,6.25e-05
bigger,14.0,1.75e-05
components,37.0,4.625e-05
weighted,6.0,7.5e-06
transportation,33.0,4.125e-05
utility,13.0,1.625e-05
averages,5.0,6.25e-06
emerging,15.0,1.875e-05
markets,32.0,4e-05
movements,25.0,3.125e-05
calculated,12.0,1.5e-05
disseminated,2.0,2.5e-06
indexes,1.0,1.25e-06
closing,24.0,3e-05
values,29.0,3.625e-05
accessed,9.0,1.125e-05
jon,24.0,3e-05
mathematician,12.0,1.5e-05
algebraic,2.0,2.5e-06
topology,5.0,6.25e-06
category,48.0,6e-05
homotopy,4.0,5e-06
foundational,3.0,3.75e-06
aspects,37.0,4.625e-05
spectra,3.0,3.75e-06
inventing,1.0,1.25e-06
spectral,4.0,5e-06
sequence,18.0,2.25e-05
princeton,24.0,3e-05
thesis,20.0,2.5e-05
moore,18.0,2.25e-05
cohomology,1.0,1.25e-06
restricted,24.0,3e-05
lie,19.0,2.375e-05
algebras,2.0,2.5e-06
algebra,13.0,1.625e-05
taught,59.0,7.375e-05
yale,16.0,2e-05
faculty,68.0,8.5e-05
fellow,90.0,0.0001125
mathematical,9.0,1.125e-05
advised,10.0,1.25e-05
cohen,31.0,3.875e-05
invitation,20.0,2.5e-05
bracket,3.0,3.75e-06
polls,12.0,1.5e-05
committees,19.0,2.375e-05
selections,6.0,7.5e-06
collegiate,23.0,2.875e-05
athletic,54.0,6.75e-05
bowl,34.0,4.25e-05
subdivision,9.0,1.125e-05
rankings,13.0,1.625e-05
preseason,8.0,1e-05
footballs,1.0,1.25e-06
governing,16.0,2e-05
bestow,3.0,3.75e-06
bestowed,8.0,1e-05
polling,7.0,8.75e-06
agencies,28.0,3.5e-05
poll,24.0,3e-05
playoff,33.0,4.125e-05
ninth,38.0,4.75e-05
determines,4.0,5e-06
champion,99.0,0.00012375
biographical,3.0,3.75e-06
franco,25.0,3.125e-05
filmmaking,4.0,5e-06
hart,9.0,1.125e-05
shannon,10.0,1.25e-05
premiere,13.0,1.625e-05
recitation,1.0,1.25e-06
readings,14.0,1.75e-05
rendered,20.0,2.5e-05
portraying,5.0,6.25e-06
plot,46.0,5.75e-05
progression,7.0,8.75e-06
chapters,17.0,2.125e-05
voyages,6.0,7.5e-06
loosely,5.0,6.25e-06
poem,44.0,5.5e-05
depiction,7.0,8.75e-06
depictions,2.0,2.5e-06
relationships,24.0,3e-05
portrayal,7.0,8.75e-06
consistent,20.0,2.5e-05
rating,42.0,5.25e-05
progressing,4.0,5e-06
portrayed,27.0,3.375e-05
troubled,5.0,6.25e-06
frustrating,5.0,6.25e-06
copyrighter,1.0,1.25e-06
alcoholism,9.0,1.125e-05
depicted,21.0,2.625e-05
voyage,10.0,1.25e-05
cruise,6.0,7.5e-06
vicinity,16.0,2e-05
reading,53.0,6.625e-05
sonny,4.0,5e-06
poets,10.0,1.25e-05
tragic,14.0,1.75e-05
supplement,10.0,1.25e-05
interview,55.0,6.875e-05
screened,12.0,1.5e-05
insult,4.0,5e-06
thats,18.0,2.25e-05
pretension,1.0,1.25e-06
lots,16.0,2e-05
arty,3.0,3.75e-06
shots,20.0,2.5e-05
stretches,5.0,6.25e-06
nothingness,1.0,1.25e-06
directing,11.0,1.375e-05
compliment,2.0,2.5e-06
cinematography,9.0,1.125e-05
melissa,6.0,7.5e-06
anderson,27.0,3.375e-05
sincere,3.0,3.75e-06
amateurish,3.0,3.75e-06
misguided,3.0,3.75e-06
biopic,4.0,5e-06
cliches,1.0,1.25e-06
cornwallis,5.0,6.25e-06
argyll,4.0,5e-06
benefactor,1.0,1.25e-06
parents,81.0,0.00010125
lucy,7.0,8.75e-06
brome,1.0,1.25e-06
cousin,26.0,3.25e-05
anthology,17.0,2.125e-05
shakespeare,12.0,1.5e-05
presumed,4.0,5e-06
dowry,2.0,2.5e-06
archibald,6.0,7.5e-06
already,113.0,0.00014125
britain,54.0,6.75e-05
allegedly,14.0,1.75e-05
spa,4.0,5e-06
presbyterianism,1.0,1.25e-06
religion,63.0,7.875e-05
catholicism,7.0,8.75e-06
surrendered,27.0,3.375e-05
consequence,12.0,1.5e-05
declared,74.0,9.25e-05
traitor,6.0,7.5e-06
banned,27.0,3.375e-05
supportive,7.0,8.75e-06
penalty,25.0,3.125e-05
solutions,11.0,1.375e-05
ireland,143.0,0.00017875
nun,5.0,6.25e-06
drury,1.0,1.25e-06
lane,29.0,3.625e-05
warner,42.0,5.25e-05
trade,109.0,0.00013625
antitrust,6.0,7.5e-06
toronto,49.0,6.125e-05
firm,59.0,7.375e-05
ontario,44.0,5.5e-05
riding,22.0,2.75e-05
retirement,51.0,6.375e-05
bill,100.0,0.000125
graham,47.0,5.875e-05
differences,27.0,3.375e-05
warners,6.0,7.5e-06
social,176.0,0.00022
spain,87.0,0.00010875
trinidad,10.0,1.25e-05
immigrated,4.0,5e-06
halifax,11.0,1.375e-05
nova,41.0,5.125e-05
scotia,5.0,6.25e-06
pickering,1.0,1.25e-06
earning,27.0,3.375e-05
practise,2.0,2.5e-06
brussels,12.0,1.5e-05
senate,58.0,7.25e-05
activist,22.0,2.75e-05
campaigned,8.0,1e-05
divest,5.0,6.25e-06
scarlet,2.0,2.5e-06
leadership,72.0,9e-05
divestment,1.0,1.25e-06
counsel,12.0,1.5e-05
directorate,5.0,6.25e-06
organisation,43.0,5.375e-05
practised,4.0,5e-06
courses,53.0,6.625e-05
institute,155.0,0.00019375
management,106.0,0.0001325
corporate,41.0,5.125e-05
arbitrator,1.0,1.25e-06
domain,55.0,6.875e-05
disputes,14.0,1.75e-05
hydro,3.0,3.75e-06
arbitral,1.0,1.25e-06
hijacking,1.0,1.25e-06
coordinated,9.0,1.125e-05
bankruptcy,5.0,6.25e-06
chrysler,6.0,7.5e-06
restructuring,12.0,1.5e-05
comment,15.0,1.875e-05
press,90.0,0.0001125
neighbourhood,5.0,6.25e-06
cabbagetown,2.0,2.5e-06
directors,59.0,7.375e-05
join,83.0,0.00010375
dots,5.0,6.25e-06
toy,5.0,6.25e-06
heavenly,4.0,5e-06
dan,24.0,3e-05
carey,4.0,5e-06
download,24.0,3e-05
vinyl,8.0,1e-05
dubs,1.0,1.25e-06
containing,47.0,5.875e-05
dub,15.0,1.875e-05
bonus,15.0,1.875e-05
investing,10.0,1.25e-05
lending,6.0,7.5e-06
borrower,18.0,2.25e-05
receives,15.0,1.875e-05
borrowers,11.0,1.375e-05
considerations,7.0,8.75e-06
investors,56.0,7e-05
equation,21.0,2.625e-05
publicized,4.0,5e-06
centered,13.0,1.625e-05
lenders,4.0,5e-06
specialized,20.0,2.5e-05
mortgage,46.0,5.75e-05
brokers,9.0,1.125e-05
commercial,100.0,0.000125
pools,6.0,7.5e-06
structured,3.0,3.75e-06
operate,37.0,4.625e-05
bankers,12.0,1.5e-05
pooled,4.0,5e-06
trusts,6.0,7.5e-06
pension,11.0,1.375e-05
substantial,31.0,3.875e-05
tending,2.0,2.5e-06
sophisticated,7.0,8.75e-06
pooling,1.0,1.25e-06
simplicity,4.0,5e-06
underlying,14.0,1.75e-05
desire,22.0,2.75e-05
income,103.0,0.00012875
dividend,7.0,8.75e-06
distributions,4.0,5e-06
yields,16.0,2e-05
bonds,22.0,2.75e-05
involvement,32.0,4e-05
broker,10.0,1.25e-05
lender,14.0,1.75e-05
borrowing,4.0,5e-06
pledged,4.0,5e-06
collateral,5.0,6.25e-06
assesses,1.0,1.25e-06
loan,44.0,5.5e-05
focusing,20.0,2.5e-05
maximum,55.0,6.875e-05
borrowed,11.0,1.375e-05
protective,8.0,1e-05
equity,20.0,2.5e-05
investor,14.0,1.75e-05
cushion,3.0,3.75e-06
defaults,2.0,2.5e-06
recoup,1.0,1.25e-06
assuming,5.0,6.25e-06
liquidated,4.0,5e-06
ninety,2.0,2.5e-06
subtracting,3.0,3.75e-06
debt,26.0,3.25e-05
tax,100.0,0.000125
liens,1.0,1.25e-06
ratio,23.0,2.875e-05
represents,34.0,4.25e-05
percentage,25.0,3.125e-05
varies,19.0,2.375e-05
carries,16.0,2e-05
raw,13.0,1.625e-05
shopping,14.0,1.75e-05
appraised,2.0,2.5e-06
choose,17.0,2.125e-05
limits,18.0,2.25e-05
package,11.0,1.375e-05
summarizing,1.0,1.25e-06
functions,34.0,4.25e-05
approximate,6.0,7.5e-06
preliminary,25.0,3.125e-05
estimate,6.0,7.5e-06
anticipated,7.0,8.75e-06
advisement,1.0,1.25e-06
proceeds,15.0,1.875e-05
contacts,12.0,1.5e-05
solicits,1.0,1.25e-06
fractional,11.0,1.375e-05
contacting,1.0,1.25e-06
investments,11.0,1.375e-05
receipt,1.0,1.25e-06
agreement,71.0,8.875e-05
diligence,5.0,6.25e-06
preparation,18.0,2.25e-05
appraisal,1.0,1.25e-06
appraiser,1.0,1.25e-06
inspections,2.0,2.5e-06
completion,30.0,3.75e-05
documentation,13.0,1.625e-05
transferred,84.0,0.000105
brief,43.0,5.375e-05
pause,3.0,3.75e-06
arranging,4.0,5e-06
committed,33.0,4.125e-05
fund,83.0,0.00010375
method,72.0,9e-05
extend,24.0,3e-05
secures,1.0,1.25e-06
obligation,9.0,1.125e-05
registered,27.0,3.375e-05
payments,28.0,3.5e-05
middlemen,1.0,1.25e-06
introductions,2.0,2.5e-06
syndicated,10.0,1.25e-05
servicing,5.0,6.25e-06
distributes,3.0,3.75e-06
rata,2.0,2.5e-06
benefits,24.0,3e-05
transparency,3.0,3.75e-06
prospective,8.0,1e-05
downside,1.0,1.25e-06
detracting,1.0,1.25e-06
moneys,2.0,2.5e-06
advantages,6.0,7.5e-06
stops,15.0,1.875e-05
cease,9.0,1.125e-05
completely,52.0,6.5e-05
recaptured,9.0,1.125e-05
renegotiated,1.0,1.25e-06
securing,9.0,1.125e-05
foreclosed,2.0,2.5e-06
holding,55.0,6.875e-05
fractionalized,1.0,1.25e-06
resemble,9.0,1.125e-05
deposit,7.0,8.75e-06
holder,10.0,1.25e-05
shares,42.0,5.25e-05
generates,8.0,1e-05
capped,13.0,1.625e-05
accepting,15.0,1.875e-05
diversification,3.0,3.75e-06
spread,49.0,6.125e-05
portfolio,14.0,1.75e-05
default,8.0,1e-05
minimal,12.0,1.5e-05
yield,14.0,1.75e-05
compensate,8.0,1e-05
shortfall,2.0,2.5e-06
liquidity,4.0,5e-06
cash,31.0,3.875e-05
lasting,13.0,1.625e-05
b,167.0,0.00020875
oversubscribed,2.0,2.5e-06
analogous,3.0,3.75e-06
selecting,7.0,8.75e-06
whereas,40.0,5e-05
delegate,15.0,1.875e-05
duty,44.0,5.5e-05
managers,18.0,2.25e-05
participants,33.0,4.125e-05
enjoy,17.0,2.125e-05
arent,9.0,1.125e-05
sidelined,4.0,5e-06
opportunities,30.0,3.75e-05
paperwork,6.0,7.5e-06
specified,22.0,2.75e-05
guarantees,8.0,1e-05
providing,43.0,5.375e-05
returns,42.0,5.25e-05
ownership,22.0,2.75e-05
undergoing,3.0,3.75e-06
